# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "example_data/genome/mm10_chr19/gencode.vM25.primary_assembly.annotation.ch19.gtf" "-o" "feature_count/counts.s2.strict.txt" "-T" "4" "-g" "gene_id" "-Q" "20" "--minOverlap" "1" "--fracOverlap" "0" "-p" "-B" "-C" "-s" "2" "mapped_reads/KO_D0_1_S2.bam" "mapped_reads/KO_D0_2_S8.bam" "mapped_reads/KO_D2_1_S4.bam" "mapped_reads/KO_D2_2_S10.bam" "mapped_reads/KO_D8_1_S6.bam" "mapped_reads/KO_D8_2_S12.bam" "mapped_reads/WT_D0_1_S1.bam" "mapped_reads/WT_D0_2_S7.bam" "mapped_reads/WT_D2_1_S3.bam" "mapped_reads/WT_D2_2_S9.bam" "mapped_reads/WT_D8_1_S5.bam" "mapped_reads/WT_D8_2_S11.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/KO_D0_1_S2.bam	mapped_reads/KO_D0_2_S8.bam	mapped_reads/KO_D2_1_S4.bam	mapped_reads/KO_D2_2_S10.bam	mapped_reads/KO_D8_1_S6.bam	mapped_reads/KO_D8_2_S12.bam	mapped_reads/WT_D0_1_S1.bam	mapped_reads/WT_D0_2_S7.bam	mapped_reads/WT_D2_1_S3.bam	mapped_reads/WT_D2_2_S9.bam	mapped_reads/WT_D8_1_S5.bam	mapped_reads/WT_D8_2_S11.bam
ENSMUSG00000024910.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5465043;5465240;5465240;5465243;5465530;5465530;5465530;5465530;5465638;5465708;5465805;5465805;5465805;5465805;5465805;5465805;5466020;5466020;5466020;5466020;5466020;5466020;5466231;5466231;5466231;5466231;5466389;5466389;5466389;5466581;5466581;5466581;5466668;5467023;5467023;5467023;5467838;5467838;5467838;5467838;5468403;5468403;5468403;5468403	5465451;5465451;5465451;5465451;5465730;5465730;5465730;5465730;5465730;5465730;5465869;5465869;5465869;5465869;5465869;5465869;5466311;5466145;5466325;5466145;5466110;5466145;5466311;5466311;5466485;5466485;5466452;5466485;5466485;5466735;5467136;5466735;5466735;5467136;5467136;5467136;5467922;5467922;5467922;5467922;5468498;5468507;5468501;5468488	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1887	21	11	11	6	2	4	17	9	4	9	1	10
ENSMUSG00000024909.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5473954;5473973;5474315;5474688;5474707;5474740;5474740;5474747;5474750;5474752;5474777;5474924;5475061;5475061;5475061;5475061;5475061;5475061;5475061;5475061;5475068;5475120;5475152;5475305;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5475408;5476020;5476066;5476066;5476066;5476066;5476066;5476066;5476066;5476066;5476066;5476066;5476066;5476066;5477562;5477562;5477562;5477562;5477562;5477562;5477562;5477562;5477562;5477562;5477562;5477927;5477927;5477927;5477927;5477927;5477927;5477927;5477927;5477927;5477927;5478201;5478201;5478201;5478201;5478201;5478201;5478201;5478201;5478201;5478201;5478201;5480030;5480030;5480030;5480030;5480030;5480030;5480030;5480030;5480030;5480045;5480123;5480234;5480234;5480234;5480234;5480234;5480234;5480234;5480234;5480234;5480234;5480546;5480546;5480546;5480546;5480546;5480546;5480546;5480546;5480546;5480589;5481561;5481561;5481561;5481561;5481561;5481561;5481561;5481561;5481639	5474453;5474323;5474395;5474774;5474774;5474774;5474774;5474774;5475178;5474774;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475178;5475456;5475456;5475456;5475456;5475468;5475456;5475456;5475456;5475456;5475456;5475456;5475456;5475456;5475456;5475456;5476272;5476272;5476182;5476272;5476272;5476272;5476272;5476272;5476272;5476272;5476272;5476272;5476272;5477684;5477684;5477684;5478320;5477684;5477684;5477684;5477684;5477578;5477684;5477684;5478043;5478043;5478043;5478043;5478043;5478043;5478043;5478043;5478043;5478043;5478320;5478320;5478320;5478320;5478256;5478320;5478320;5478366;5478320;5478320;5478320;5480079;5480149;5480149;5480149;5480149;5480149;5480149;5480149;5480149;5480149;5480149;5480360;5480360;5480360;5480360;5480360;5480360;5480360;5480360;5480360;5480360;5480916;5480741;5480741;5480741;5480741;5480741;5480741;5480741;5480741;5480741;5481659;5482517;5482517;5481853;5481853;5481853;5482517;5482517;5481775	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3788	18991	17117	21695	26468	15077	12219	15549	17008	19986	19131	11523	13348
ENSMUSG00000024906.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5482345;5482832;5482840;5482851;5482853;5482854;5482855;5482858;5483108;5483108;5483108;5483108;5483108;5483108;5483108;5483108;5483455;5483455;5483455;5483455;5483455;5483455;5483455;5483455;5483635;5483635;5483635;5483635;5483635;5483690;5483930;5483930;5483930;5483930;5483930;5483930;5484113;5484113;5484113;5484113;5484113;5484113;5484212;5484859;5484859;5484859;5484859;5484859;5484859;5485039;5485039;5485039;5485039;5485039;5485258;5485258;5485258;5485258;5485258;5485488;5485488;5485488;5485488;5485488;5485626;5486029;5486029;5486029;5486029;5486280;5486280;5486280;5486280;5486280;5486487;5486487;5486487;5486487;5486487;5487025;5487025;5487025;5487025;5487025;5487468;5487762;5487762;5487762;5487762;5487762;5487988;5487988;5487988;5487988;5487988	5483029;5483029;5483029;5483029;5483029;5483029;5483029;5483029;5483221;5483191;5483191;5483221;5483191;5483191;5483191;5483191;5483558;5483558;5483558;5483665;5483558;5483558;5483573;5483558;5483763;5483967;5483665;5483763;5483665;5484025;5484025;5484025;5484025;5483963;5484025;5484025;5484229;5484229;5484154;5484229;5484229;5484229;5484229;5484956;5484885;5484956;5484956;5484956;5484956;5485160;5485160;5485160;5485160;5485160;5485353;5485353;5485353;5485353;5485353;5485625;5485625;5486114;5485625;5485625;5485810;5486114;5486114;5486114;5486114;5486348;5486348;5486348;5486348;5486348;5486588;5486588;5486588;5486588;5486588;5487107;5487107;5487107;5487107;5487107;5487891;5487916;5487891;5487935;5487891;5487891;5488311;5488266;5488285;5488402;5488016	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3567	254	286	478	450	360	355	237	329	381	413	353	402
ENSMUSG00000117966.1	chr19	5488744	5489198	-	455	1	3	0	0	0	0	0	4	0	1	0	0
ENSMUSG00000056201.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5490455;5490485;5490516;5490565;5492497;5492497;5492497;5492497;5493155;5493155;5493155;5493381;5493381;5493493;5493501	5490602;5490602;5490602;5490602;5493145;5492804;5492804;5492804;5493579;5493231;5493231;5495201;5493490;5493498;5494029	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2844	20595	16369	12541	13335	18460	20377	19633	17387	12595	12434	16708	22403
ENSMUSG00000056185.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5492235;5494848;5495274;5495278;5495280;5495897;5495897;5496058;5496058;5496058;5496058;5496316;5496316;5496316;5496316;5496316;5496941;5496986;5496986;5497290;5497290;5497290;5497290;5497290;5497290;5497447;5497447;5497447;5497447;5497447;5497675;5497675;5497675;5497675;5497905;5497905;5497905;5497905;5497905;5498180;5498180;5498180;5498180;5498180;5498396;5498396;5498412;5498446;5498720;5498720;5498720;5498720;5498720;5500922;5510333;5510333;5510333;5510333;5510333	5492610;5495982;5495648;5495982;5496217;5495982;5495982;5496217;5496217;5496217;5496217;5496402;5497025;5496402;5497025;5497025;5497025;5497025;5497025;5497365;5497365;5497365;5497365;5497365;5497365;5497552;5497552;5497552;5497552;5497552;5497779;5497779;5497779;5497779;5498028;5498028;5498028;5498028;5498028;5498306;5498301;5498301;5498506;5498301;5498506;5498506;5498506;5498506;5498824;5498824;5498824;5498824;5498824;5500970;5510482;5510463;5510538;5510507;5510496	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3554	193	228	139	167	182	169	144	199	132	181	100	157
ENSMUSG00000100937.1	chr19	5502767	5503787	-	1021	3	2	5	9	6	9	4	1	4	6	9	3
ENSMUSG00000109695.1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5512528;5517653;5531540;5531630;5542351;5542360;5549679;5549682	5512946;5517692;5531658;5531658;5542545;5542647;5550368;5549757	+;+;+;+;+;+;+;+	1565	13	10	9	9	13	15	15	12	10	6	14	23
ENSMUSG00000024922.2	chr19;chr19;chr19;chr19;chr19;chr19	5549136;5551485;5553554;5553560;5558888;5560201	5551253;5551674;5553771;5553771;5559403;5560646	-;-;-;-;-;-	3488	0	4	0	0	0	1	1	1	0	0	0	0
ENSMUSG00000117861.1	chr19;chr19	5560260;5561042	5560335;5561677	+;+	712	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049562.6	chr19;chr19;chr19;chr19;chr19;chr19;chr19	5568025;5568053;5568074;5568440;5568440;5568704;5568704	5568083;5568083;5568607;5568607;5569083;5571261;5571261	+;+;+;+;+;+;+	3237	139	198	138	179	240	235	132	227	129	125	218	254
ENSMUSG00000024925.11	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5601873;5601887;5601936;5601975;5602193;5602193;5602193;5602193;5602235;5602410;5602450;5602450;5602450;5602450;5602806;5602824;5602824;5606760	5602080;5602080;5602080;5602080;5602374;5602374;5602374;5602867;5602374;5602569;5602569;5602932;5602569;5602569;5602938;5602934;5603439;5607019	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1715	392	301	721	652	283	305	384	294	626	752	248	340
ENSMUSG00000024926.10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5603014;5603014;5603014;5603016;5603017;5603418;5603634;5603634;5603634;5603634;5603634;5603830;5603830;5603830;5603830;5603830;5603830;5604094;5605066;5605322;5605372;5605372;5605372;5605372;5605543;5605543;5605543;5605543;5605543;5605543;5605559;5607551;5607551;5607551;5607551;5607551;5607551;5607551;5607716;5607716;5607716;5607716;5607716;5607716;5607716;5607733;5607782;5608255;5608255;5608255;5608255;5608255;5608255;5608255;5608255;5608255;5608638;5608638;5608638;5608638;5608638;5608638;5608638;5608638;5608802;5608802;5608802;5608827;5608926;5609236;5609236;5609236;5609236;5609236;5609236;5609236;5609236;5609236;5609463;5609463;5609463;5609463;5609463;5609463;5609463;5609463;5609463;5609712;5609852;5609852;5609852;5609852;5609852;5609852;5609852;5610018;5610018;5610018;5610018	5603552;5603552;5603715;5603552;5603552;5603552;5603715;5603715;5603715;5603715;5603715;5603989;5603989;5603989;5603989;5603989;5603966;5604336;5605465;5605465;5605465;5605465;5605465;5605465;5605683;5605683;5605683;5605683;5605683;5605683;5605683;5607640;5607640;5607640;5607640;5607640;5607640;5607640;5607955;5607964;5607964;5607964;5607964;5607964;5607964;5607964;5607964;5608329;5608329;5608270;5608329;5608329;5608329;5608329;5608329;5608329;5608712;5608712;5608712;5608712;5608712;5608712;5608712;5608712;5608957;5608957;5608957;5609372;5608984;5609372;5609707;5609372;5609372;5609372;5609372;5609372;5609372;5609372;5609531;5609531;5609531;5609531;5609531;5609531;5609782;5609531;5609531;5609789;5609918;5609918;5610044;5609918;5610048;5609918;5609918;5610051;5610029;5610237;5610035	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3509	547	486	414	518	590	555	521	519	395	437	500	607
ENSMUSG00000024927.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5637483;5637719;5637829;5637933;5637944;5637959;5638432;5638432;5638432;5638432;5638551;5638551;5638551;5638551;5638551;5638551;5638855;5638855;5638855;5638855;5638855;5639859;5639859;5639859;5640303;5640303;5640303;5640303;5641146;5641181;5641181;5641181;5641464;5641464;5641464;5641464;5645325;5645325;5645325;5645325;5645513;5645513;5645513;5645513;5646594;5646800;5646800;5646800;5646800	5637841;5637841;5637841;5637976;5638148;5638148;5638458;5638458;5638458;5638458;5638696;5638702;5638702;5638702;5638702;5638702;5639003;5638969;5639003;5639003;5639003;5639950;5639950;5639950;5640432;5640434;5640434;5640434;5641285;5641285;5641285;5641285;5641676;5641676;5641676;5641676;5645405;5645405;5645405;5645405;5645587;5645587;5645587;5645587;5646698;5647076;5647423;5647608;5648130	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3072	1946	3282	1148	1680	2127	2168	1741	2880	1011	1352	1824	2132
ENSMUSG00000056917.13	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5651185;5651188;5651191;5651194;5651194;5651207;5651227;5651636;5651636;5651636;5651636;5651636;5651636;5651636;5651906;5651906;5651906;5651906;5651906;5651906;5651906;5651918;5652045;5652045;5652045;5652045;5652045;5652045;5652045;5652261;5652261;5652261;5652261;5652261;5652261;5652261;5652261;5652455;5652455;5652455;5652455;5652455;5652455;5652455;5652539;5652655;5652655;5652655;5652655;5652655;5652655;5652655;5652655;5653564;5653999;5653999;5653999;5653999;5653999;5653999;5653999;5653999;5654547;5654547;5654547;5654547;5654547;5654547;5654547;5654547;5654547;5655258;5655258;5655258;5655258;5655258;5655258;5655258;5655258;5655688;5655688;5655688;5655688;5655688;5655688;5655688;5655688;5656154;5656154;5656154;5656154;5656154;5656154;5656154;5656154;5659334;5659334;5659334;5659334;5659334;5659334;5659334;5659334;5659596;5659596;5659596;5659596;5659596;5659596;5659596;5659596;5660314;5660314;5660314;5660314;5660314;5660314;5660314;5660314;5660879;5661011;5661021;5661596;5661596;5661596;5661596;5661596;5661596;5662588;5662588;5662588;5663604;5663604;5663604;5663604;5663604;5663604;5663604;5663604;5663604;5663604	5651562;5651562;5651562;5651562;5651562;5651562;5651562;5651714;5651714;5651714;5651714;5651714;5651714;5651714;5651960;5651960;5651960;5651960;5651960;5651960;5651960;5652146;5652146;5652146;5652146;5652146;5652146;5652146;5652146;5652276;5652369;5652369;5652369;5652369;5652369;5652369;5652369;5652566;5652566;5652566;5652566;5652566;5652566;5652566;5652566;5652739;5652873;5652873;5652873;5652873;5652873;5652873;5652873;5654273;5654273;5654273;5654273;5654273;5654273;5654273;5654273;5654273;5655156;5654837;5655156;5655156;5655156;5655156;5655156;5655156;5655156;5655415;5655415;5655415;5655415;5655415;5655415;5655415;5655415;5655791;5655791;5655791;5655791;5655791;5655791;5655791;5655791;5656328;5656328;5656328;5656328;5656328;5656328;5656328;5656328;5659510;5659510;5659510;5659510;5659510;5659510;5659510;5659510;5659723;5659723;5659723;5659723;5659723;5659723;5659723;5659723;5661111;5661081;5660398;5661111;5661111;5661111;5661111;5661111;5661111;5661111;5661111;5661623;5661658;5661658;5661626;5661635;5661626;5662841;5662841;5662841;5663627;5663655;5663695;5663636;5663652;5663660;5663660;5663620;5663680;5663707	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4419	514	230	528	574	754	746	483	248	435	504	625	689
ENSMUSG00000054874.12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5664635;5664638;5664640;5665236;5665329;5665329;5665329;5665416;5665708;5665708;5665708;5665708;5665991;5666150;5666150;5666150;5666150;5666509;5666509;5666509;5666509;5666509;5666835;5666835;5666835;5666835;5667149;5667149;5667149;5667379;5667379;5667379;5671523;5671523;5671523;5672447;5672447;5672447;5672758;5672758;5672758;5673225;5673225;5673225;5673292;5673480;5673480;5673480;5673480;5674877;5674877;5674877;5674923;5675360;5675360;5675360;5675360;5677125;5677125;5677125;5677125;5677406;5677406;5677406;5677406;5677620;5677620;5677620;5677620;5678643;5678643;5678643;5678643;5678912;5678912;5678912;5678912;5678983;5679360;5679360;5679360;5679360;5679360;5679403;5679570;5679570;5679570;5679570;5679570;5679570;5679934;5679968;5679968;5679968;5679968;5679968;5680243;5680243;5680243;5680243;5680243;5681432;5681432;5681432;5681432;5681432;5681432;5683277;5683277;5683277;5683307;5683307;5683741;5683788;5683788;5683788;5683788;5684290;5684290;5684290;5684290;5684549;5684549;5684549;5684549;5685092;5685092;5686431;5686431;5686627;5686627;5686627;5687119;5687119;5687451;5687451;5687451;5687997;5687997;5687997	5665247;5665247;5665247;5665841;5665627;5665627;5665627;5665627;5665841;5665841;5665841;5665841;5666424;5666198;5666424;5666424;5666424;5666526;5666739;5666739;5666739;5666739;5666982;5666982;5666982;5666982;5667252;5667252;5667252;5667609;5667609;5667609;5671776;5671776;5671776;5672662;5672662;5672662;5672816;5672816;5672816;5673354;5673354;5673354;5673354;5673588;5673588;5673947;5673588;5675054;5675054;5675054;5675054;5675504;5675504;5675504;5675504;5677167;5677275;5677275;5677275;5677498;5677498;5677498;5677498;5677725;5677725;5677725;5677725;5678752;5678752;5678752;5678752;5679003;5679003;5679003;5679003;5679003;5679470;5679470;5679470;5679470;5679470;5679470;5679741;5679741;5679577;5679741;5679741;5679741;5680396;5680000;5680000;5680000;5680000;5680000;5680396;5680396;5680396;5680396;5680396;5681536;5681574;5681592;5681553;5681553;5681553;5683343;5683412;5683412;5683412;5683412;5683878;5683873;5683878;5683878;5683878;5684468;5684468;5684468;5684468;5684672;5684669;5684672;5684672;5686219;5686219;5686526;5686526;5687218;5686666;5686666;5687218;5687218;5687638;5687638;5687638;5688695;5688149;5688908	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8757	2326	1399	1953	2159	2407	1725	2221	1519	1857	1943	1876	1751
ENSMUSG00000098568.1	chr19	5679004	5679076	-	73	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004054.9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5688742;5689037;5689134;5689477;5689477;5689689;5689689;5689689;5690497;5692895;5695161;5695161;5695161;5695497;5695497;5695497;5695732;5695732;5696007;5696007;5696684;5696684;5697344;5697344;5697558;5697558;5699874;5700590;5700590;5702007;5702007	5688830;5689266;5689512;5689512;5689512;5689979;5690988;5690004;5690988;5693021;5695341;5695341;5695341;5695551;5695645;5695645;5695907;5695907;5696250;5696250;5696797;5696797;5697479;5697479;5697649;5697649;5699942;5700970;5700970;5702857;5702865	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4393	703	306	496	695	781	773	627	340	484	555	665	811
ENSMUSG00000118077.1	chr19;chr19	5689236;5689858	5689682;5690010	-;-	600	7	5	6	2	13	7	4	4	9	9	17	7
ENSMUSG00000024936.8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	5704367;5704971;5705021;5705567;5706067;5706067;5706067;5706703;5706703;5706703	5704794;5705191;5705191;5705677;5706465;5706465;5706465;5707101;5707109;5707101	+;+;+;+;+;+;+;+;+;+	1566	1	2	3	2	1	1	0	0	9	3	2	2
